filepath,instrument,source,note,octave
FatBoy/acoustic_grand_piano-mp3/Bb2.mp3,acoustic_grand_piano,FatBoy,Bb,2
FatBoy/acoustic_grand_piano-mp3/Bb3.mp3,acoustic_grand_piano,FatBoy,Bb,3
FatBoy/acoustic_grand_piano-mp3/Bb4.mp3,acoustic_grand_piano,FatBoy,Bb,4
FatBoy/acoustic_grand_piano-mp3/Bb5.mp3,acoustic_grand_piano,FatBoy,Bb,5
FatBoy/acoustic_grand_piano-mp3/Bb6.mp3,acoustic_grand_piano,FatBoy,Bb,6
FatBoy/acoustic_grand_piano-mp3/Bb7.mp3,acoustic_grand_piano,FatBoy,Bb,7
FatBoy/acoustic_grand_piano-mp3/C1.mp3,acoustic_grand_piano,FatBoy,C,1
FatBoy/acoustic_grand_piano-mp3/C2.mp3,acoustic_grand_piano,FatBoy,C,2
FatBoy/acoustic_grand_piano-mp3/C3.mp3,acoustic_grand_piano,FatBoy,C,3
FatBoy/acoustic_grand_piano-mp3/C4.mp3,acoustic_grand_piano,FatBoy,C,4
FatBoy/acoustic_grand_piano-mp3/C5.mp3,acoustic_grand_piano,FatBoy,C,5
FatBoy/acoustic_grand_piano-mp3/C6.mp3,acoustic_grand_piano,FatBoy,C,6
FatBoy/acoustic_grand_piano-mp3/C7.mp3,acoustic_grand_piano,FatBoy,C,7
FatBoy/acoustic_grand_piano-mp3/C8.mp3,acoustic_grand_piano,FatBoy,C,8
FatBoy/acoustic_grand_piano-mp3/D1.mp3,acoustic_grand_piano,FatBoy,D,1
FatBoy/acoustic_grand_piano-mp3/D2.mp3,acoustic_grand_piano,FatBoy,D,2
FatBoy/acoustic_grand_piano-mp3/D3.mp3,acoustic_grand_piano,FatBoy,D,3
FatBoy/acoustic_grand_piano-mp3/D4.mp3,acoustic_grand_piano,FatBoy,D,4
FatBoy/acoustic_grand_piano-mp3/D5.mp3,acoustic_grand_piano,FatBoy,D,5
FatBoy/acoustic_grand_piano-mp3/D6.mp3,acoustic_grand_piano,FatBoy,D,6
FatBoy/acoustic_grand_piano-mp3/D7.mp3,acoustic_grand_piano,FatBoy,D,7
FatBoy/acoustic_grand_piano-mp3/Db1.mp3,acoustic_grand_piano,FatBoy,Db,1
FatBoy/acoustic_grand_piano-mp3/Db2.mp3,acoustic_grand_piano,FatBoy,Db,2
FatBoy/acoustic_grand_piano-mp3/Db3.mp3,acoustic_grand_piano,FatBoy,Db,3
FatBoy/acoustic_grand_piano-mp3/Db4.mp3,acoustic_grand_piano,FatBoy,Db,4
FatBoy/acoustic_grand_piano-mp3/Db5.mp3,acoustic_grand_piano,FatBoy,Db,5
FatBoy/acoustic_grand_piano-mp3/Db6.mp3,acoustic_grand_piano,FatBoy,Db,6
FatBoy/acoustic_grand_piano-mp3/Db7.mp3,acoustic_grand_piano,FatBoy,Db,7
FatBoy/acoustic_grand_piano-mp3/E1.mp3,acoustic_grand_piano,FatBoy,E,1
FatBoy/acoustic_grand_piano-mp3/E2.mp3,acoustic_grand_piano,FatBoy,E,2
FatBoy/acoustic_grand_piano-mp3/E3.mp3,acoustic_grand_piano,FatBoy,E,3
FatBoy/acoustic_grand_piano-mp3/E4.mp3,acoustic_grand_piano,FatBoy,E,4
FatBoy/acoustic_grand_piano-mp3/E5.mp3,acoustic_grand_piano,FatBoy,E,5
FatBoy/acoustic_grand_piano-mp3/E6.mp3,acoustic_grand_piano,FatBoy,E,6
FatBoy/acoustic_grand_piano-mp3/E7.mp3,acoustic_grand_piano,FatBoy,E,7
FatBoy/acoustic_grand_piano-mp3/Eb1.mp3,acoustic_grand_piano,FatBoy,Eb,1
FatBoy/acoustic_grand_piano-mp3/Eb2.mp3,acoustic_grand_piano,FatBoy,Eb,2
FatBoy/acoustic_grand_piano-mp3/Eb3.mp3,acoustic_grand_piano,FatBoy,Eb,3
FatBoy/acoustic_grand_piano-mp3/Eb4.mp3,acoustic_grand_piano,FatBoy,Eb,4
FatBoy/acoustic_grand_piano-mp3/Eb5.mp3,acoustic_grand_piano,FatBoy,Eb,5
FatBoy/acoustic_grand_piano-mp3/Eb6.mp3,acoustic_grand_piano,FatBoy,Eb,6
FatBoy/acoustic_grand_piano-mp3/Eb7.mp3,acoustic_grand_piano,FatBoy,Eb,7
FatBoy/acoustic_grand_piano-mp3/F1.mp3,acoustic_grand_piano,FatBoy,F,1
FatBoy/acoustic_grand_piano-mp3/F2.mp3,acoustic_grand_piano,FatBoy,F,2
FatBoy/acoustic_grand_piano-mp3/F3.mp3,acoustic_grand_piano,FatBoy,F,3
FatBoy/acoustic_grand_piano-mp3/F4.mp3,acoustic_grand_piano,FatBoy,F,4
FatBoy/acoustic_grand_piano-mp3/F5.mp3,acoustic_grand_piano,FatBoy,F,5
FatBoy/acoustic_grand_piano-mp3/F6.mp3,acoustic_grand_piano,FatBoy,F,6
FatBoy/acoustic_grand_piano-mp3/F7.mp3,acoustic_grand_piano,FatBoy,F,7
FatBoy/acoustic_grand_piano-mp3/G1.mp3,acoustic_grand_piano,FatBoy,G,1
FatBoy/acoustic_grand_piano-mp3/G2.mp3,acoustic_grand_piano,FatBoy,G,2
FatBoy/acoustic_grand_piano-mp3/G3.mp3,acoustic_grand_piano,FatBoy,G,3
FatBoy/acoustic_grand_piano-mp3/G4.mp3,acoustic_grand_piano,FatBoy,G,4
FatBoy/acoustic_grand_piano-mp3/G5.mp3,acoustic_grand_piano,FatBoy,G,5
FatBoy/acoustic_grand_piano-mp3/G6.mp3,acoustic_grand_piano,FatBoy,G,6
FatBoy/acoustic_grand_piano-mp3/G7.mp3,acoustic_grand_piano,FatBoy,G,7
FatBoy/acoustic_grand_piano-mp3/Gb1.mp3,acoustic_grand_piano,FatBoy,Gb,1
FatBoy/acoustic_grand_piano-mp3/Gb2.mp3,acoustic_grand_piano,FatBoy,Gb,2
FatBoy/acoustic_grand_piano-mp3/Gb3.mp3,acoustic_grand_piano,FatBoy,Gb,3
FatBoy/acoustic_grand_piano-mp3/Gb4.mp3,acoustic_grand_piano,FatBoy,Gb,4
FatBoy/acoustic_grand_piano-mp3/Gb5.mp3,acoustic_grand_piano,FatBoy,Gb,5
FatBoy/acoustic_grand_piano-mp3/Gb6.mp3,acoustic_grand_piano,FatBoy,Gb,6
FatBoy/acoustic_grand_piano-mp3/Gb7.mp3,acoustic_grand_piano,FatBoy,Gb,7
FatBoy/acoustic_guitar_nylon-mp3/A0.mp3,acoustic_guitar_nylon,FatBoy,A,0
FatBoy/acoustic_guitar_nylon-mp3/A1.mp3,acoustic_guitar_nylon,FatBoy,A,1
FatBoy/acoustic_guitar_nylon-mp3/A2.mp3,acoustic_guitar_nylon,FatBoy,A,2
FatBoy/acoustic_guitar_nylon-mp3/A3.mp3,acoustic_guitar_nylon,FatBoy,A,3
FatBoy/acoustic_guitar_nylon-mp3/A4.mp3,acoustic_guitar_nylon,FatBoy,A,4
FatBoy/acoustic_guitar_nylon-mp3/A5.mp3,acoustic_guitar_nylon,FatBoy,A,5
FatBoy/acoustic_guitar_nylon-mp3/A6.mp3,acoustic_guitar_nylon,FatBoy,A,6
FatBoy/acoustic_guitar_nylon-mp3/A7.mp3,acoustic_guitar_nylon,FatBoy,A,7
FatBoy/acoustic_guitar_nylon-mp3/Ab1.mp3,acoustic_guitar_nylon,FatBoy,Ab,1
FatBoy/acoustic_guitar_nylon-mp3/Ab2.mp3,acoustic_guitar_nylon,FatBoy,Ab,2
FatBoy/acoustic_guitar_nylon-mp3/Ab3.mp3,acoustic_guitar_nylon,FatBoy,Ab,3
FatBoy/acoustic_guitar_nylon-mp3/Ab4.mp3,acoustic_guitar_nylon,FatBoy,Ab,4
FatBoy/acoustic_guitar_nylon-mp3/Ab5.mp3,acoustic_guitar_nylon,FatBoy,Ab,5
FatBoy/acoustic_guitar_nylon-mp3/Ab6.mp3,acoustic_guitar_nylon,FatBoy,Ab,6
FatBoy/acoustic_guitar_nylon-mp3/Ab7.mp3,acoustic_guitar_nylon,FatBoy,Ab,7
FatBoy/acoustic_guitar_nylon-mp3/B0.mp3,acoustic_guitar_nylon,FatBoy,B,0
FatBoy/acoustic_guitar_nylon-mp3/B1.mp3,acoustic_guitar_nylon,FatBoy,B,1
FatBoy/acoustic_guitar_nylon-mp3/B2.mp3,acoustic_guitar_nylon,FatBoy,B,2
FatBoy/acoustic_guitar_nylon-mp3/B3.mp3,acoustic_guitar_nylon,FatBoy,B,3
FatBoy/acoustic_guitar_nylon-mp3/B4.mp3,acoustic_guitar_nylon,FatBoy,B,4
FatBoy/acoustic_guitar_nylon-mp3/B5.mp3,acoustic_guitar_nylon,FatBoy,B,5
FatBoy/acoustic_guitar_nylon-mp3/B6.mp3,acoustic_guitar_nylon,FatBoy,B,6
FatBoy/acoustic_guitar_nylon-mp3/B7.mp3,acoustic_guitar_nylon,FatBoy,B,7
FatBoy/acoustic_guitar_nylon-mp3/Bb0.mp3,acoustic_guitar_nylon,FatBoy,Bb,0
FatBoy/acoustic_guitar_nylon-mp3/Bb1.mp3,acoustic_guitar_nylon,FatBoy,Bb,1
FatBoy/acoustic_guitar_nylon-mp3/Bb2.mp3,acoustic_guitar_nylon,FatBoy,Bb,2
FatBoy/acoustic_guitar_nylon-mp3/Bb3.mp3,acoustic_guitar_nylon,FatBoy,Bb,3
FatBoy/acoustic_guitar_nylon-mp3/Bb4.mp3,acoustic_guitar_nylon,FatBoy,Bb,4
FatBoy/acoustic_guitar_nylon-mp3/Bb5.mp3,acoustic_guitar_nylon,FatBoy,Bb,5
FatBoy/acoustic_guitar_nylon-mp3/Bb6.mp3,acoustic_guitar_nylon,FatBoy,Bb,6
FatBoy/acoustic_guitar_nylon-mp3/Bb7.mp3,acoustic_guitar_nylon,FatBoy,Bb,7
FatBoy/acoustic_guitar_nylon-mp3/C1.mp3,acoustic_guitar_nylon,FatBoy,C,1
FatBoy/acoustic_guitar_nylon-mp3/C2.mp3,acoustic_guitar_nylon,FatBoy,C,2
FatBoy/acoustic_guitar_nylon-mp3/C3.mp3,acoustic_guitar_nylon,FatBoy,C,3
FatBoy/acoustic_guitar_nylon-mp3/C4.mp3,acoustic_guitar_nylon,FatBoy,C,4
FatBoy/acoustic_guitar_nylon-mp3/C5.mp3,acoustic_guitar_nylon,FatBoy,C,5
FatBoy/acoustic_guitar_nylon-mp3/C6.mp3,acoustic_guitar_nylon,FatBoy,C,6
FatBoy/acoustic_guitar_nylon-mp3/C7.mp3,acoustic_guitar_nylon,FatBoy,C,7
